primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr,Bonferroni.Padj
TXNDC5,9.750467858332198e-66,1.69218064569747,1.8645763140310498,1.51978497736388,2.806896588550999e-63,1.7683448507871273e-61
ATP1A1,1.5990354873323398e-65,2.13815473373495,2.3396304599309503,1.93667900753896,4.53126681222802e-63,2.9000107598259315e-61
CASP3,2.4791978470759397e-65,2.2920596871197096,2.53501575211192,2.04910362212749,6.917343408395259e-63,4.496273215456924e-61
BARX2,4.159478677838929e-65,2.5184239093690497,2.77706765606776,2.25978016267033,1.1429743227467697e-62,7.543630530128682e-61
NFIC,8.279633602366007e-65,2.3387567942793797,2.5944624415441404,2.08305114701462,2.2411855972016397e-62,1.501594350125099e-60
LCN2,8.470561471131568e-65,8.05525507140061,8.54418202724185,7.5663281155593705,2.2591485711829696e-62,1.5362210284044212e-60
CDKN2A,1.2827637059689299e-64,1.49561856125971,1.63807942360625,1.35315769891316,3.3716235610800698e-62,2.3264202571452514e-60
OGFR,2.5430442049644993e-63,1.8928209080107399,2.0771055470248796,1.7085362689966002,6.58866424303374e-61,4.612064970123616e-59
LIG1,2.7396518312779193e-63,2.62324051363307,2.9030279270793904,2.34345310018674,6.998074029867098e-61,4.9686325612056344e-59
TRP53,1.3418203554345699e-62,-2.27007787006501,-2.07490113546565,-2.46525460466437,3.3798963841890896e-60,2.4335253966161358e-58
XPO7,1.3620357936085098e-62,2.41773820436768,2.60408746132032,2.23138894741503,3.3838193360115e-60,2.4701881152883933e-58
STAT2,2.2158919725343797e-62,2.4867772907589303,2.74499587614371,2.22855870537415,5.430732001876139e-60,4.018741681388351e-58
PTMA,5.265785240322629e-62,1.64063348211384,1.8014818301056001,1.4797851341220802,1.2733370815798798e-59,9.550028111849121e-58
TRIM30A,1.0305388227157597e-61,3.8276642874376603,4.05268248042798,3.6026460944473304,2.4591910643122494e-59,1.8689852088773017e-57
UBE2E3,1.1446142975985597e-61,1.8355699076816099,2.05264644050176,1.6184933748614698,2.6959382988633093e-59,2.075872490124748e-57
RHOC,4.9484663612569386e-61,4.72180116865988,4.94131504458884,4.502287292730919,1.1505818708686698e-58,8.974538592775584e-57
OAS2,1.2672749000173897e-60,3.2362883974134,3.3632472678173198,3.10932952700949,2.9092781755335997e-58,2.298329758671538e-56
ZBP1,1.7511890338645496e-59,3.8228517801791,4.112658900524379,3.53304465983381,3.9699455397709287e-57,3.1759564318167473e-55
APBB2,3.5781835047130495e-59,1.79637475135948,1.9922657131838302,1.60048378953513,8.011597042157528e-57,6.4893936041475865e-55
IFITM2,1.1287367500013998e-58,2.18378810106065,2.4059759718518903,1.9616002302693998,2.4964353290274796e-56,2.0470769698025386e-54
CXCL5,2.2953757243345097e-58,7.14804110831236,7.731271508026019,6.564810708598701,5.01553423331694e-56,4.1628934136530666e-54
CASP4,2.5846298133897097e-58,3.4358616519311695,3.64795967824733,3.2237636256150095,5.580338844718549e-56,4.6874846295635775e-54
CD44,6.505438121533849e-58,2.25872016328452,2.49923514476861,2.01820518180043,1.3880308914369197e-55,1.1798262577213789e-53
NONO,7.945859261663579e-58,1.02272178289085,1.12785191829134,0.9175916474903589,1.6756523670875697e-55,1.4410610356953066e-53
PPP1CC,1.0235767207509398e-57,1.2670311595268702,1.39873236129921,1.13532995775454,2.13374567902748e-55,1.8563587407539045e-53
H2-Q4,1.2598560464857697e-57,2.54751652406841,2.8288114402242703,2.26622160791255,2.5964487794393095e-55,2.284874925906592e-53
DYNLL2,1.68538989963711e-57,1.17183405277277,1.29272142744067,1.05094667810488,3.4344080022268195e-55,3.0566231219818626e-53
RBBP4,2.66711633630491e-57,1.59143890198262,1.75593835310034,1.4269394508648998,5.374535763913989e-55,4.837082187522584e-53
PLA2G4A,6.702489924146929e-57,1.9645648315896398,2.18484838843539,1.7442812747439,1.3357841457618497e-54,1.2155635726432872e-52
SELENOH,1.3628321799586697e-56,1.91163470603107,2.11121549896272,1.7120539130994201,2.68655700170983e-54,2.4716324415730434e-52
TES,1.5317876998913498e-56,1.8977207568516699,2.09704602915257,1.6983954845507698,2.9871507231429596e-54,2.778050172522952e-52
SAMD9L,3.256305171894359e-56,2.27692694629587,2.5315321780166804,2.02232171457505,6.282590489093208e-54,5.90563505974761e-52
CCND3,4.0186326769180494e-56,1.32207231757496,1.4608295007509198,1.18331513439899,7.671781287219559e-54,7.288192222858575e-52
GNAS,4.1291003426439495e-56,0.8297089687670178,0.9169055581912309,0.742512379342805,7.800558730644858e-54,7.488536381419067e-52
PLSCR1,7.226847390483918e-56,2.12485500850002,2.3500730147556,1.8996370022444498,1.3511969512764596e-53,1.3106610427381633e-51
ANAPC5,2.1145039335833098e-55,1.66050221584676,1.87127575716522,1.44972867452829,3.913126871374179e-53,3.834864333946691e-51
PARP9,2.7970716379545694e-55,1.7398281186487,1.9286905320143997,1.550965705283,5.124009214741819e-53,5.072769122594407e-51
SLC6A6,3.0361752160807595e-55,2.09624417861163,2.3410061797614,1.8514821774618602,5.506407371884069e-53,5.506407371884065e-51
ATF3,3.51991343423115e-55,3.63529843760775,4.00373693973629,3.26685993547921,6.32050990526892e-53,6.383715004321613e-51
LIMD2,8.608950793294178e-55,2.3567931111506404,2.62463021502793,2.08895600727334,1.5307052116390498e-52,1.561319315871832e-50
SPINT2,9.300031014477089e-55,-1.19682858959812,-1.0691418890742,-1.32451529012205,1.6375277910539497e-52,1.686653624785565e-50
ARF3,1.1647019980533198e-54,1.7237451223178601,1.90764357727819,1.53984666735753,2.0310610996822096e-52,2.1123035436695007e-50
CP,1.2042540495140398e-54,5.97634830917625,6.2458377793708095,5.7068588389817,2.0800334706653897e-52,2.1840351441986625e-50
2900026A02RIK,1.4047978942986598e-54,1.98359966685582,2.19800023381916,1.76919909989247,2.4035296802830694e-52,2.5477414611000494e-50
YBX1,2.1437066778199294e-54,1.07224514622707,1.18717945122975,0.9573108412243879,3.633482645695539e-52,3.887826430894224e-50
JUN,3.5037148048631595e-54,1.93660267639662,2.1444332309587697,1.72877212183447,5.883645527870209e-52,6.354337170099826e-50
COMT,3.7162895945192895e-54,1.7082177848892501,1.89303437527998,1.52340119449852,6.183360374880909e-52,6.739862808620184e-50
TBC1D1,4.643375891273809e-54,1.7363300999978502,1.9229719124500801,1.5496882875456297,7.65566046946744e-52,8.42122651641418e-50
CLIC4,5.50938004435382e-54,2.03561037876102,2.2562735499502997,1.8149472075717399,9.001632115711787e-52,9.991811648440087e-50
SH3BGRL,7.598632344108559e-54,2.09830572406212,2.3352726245319397,1.8613388235923,1.2304356802924398e-51,1.3780879619275282e-49
RFC2,1.15585738508378e-53,1.7529999636584899,1.9489228856484397,1.55707704166853,1.85509995892738e-51,2.0962629535879433e-49
ZNHIT1,1.2113804137829398e-53,1.09041138660281,1.20824848614749,0.972574287058138,1.9271574723129396e-51,2.1969595184367398e-49
IFI35,1.37548856443454e-53,1.8242742426078102,2.02147275864603,1.6270757265695899,2.1692052699638996e-51,2.4945860604584815e-49
IFIT1,2.3946400134485695e-53,4.11018082817535,4.548596382730361,3.6717652736203394,3.743895800336489e-51,4.342919128390326e-49
IRGM1,3.5133911206580195e-53,2.6176603564812497,2.88884148558181,2.3464792273807,5.446056526859309e-51,6.371886136425384e-49
LY6G6C,4.392956427853019e-53,-5.483855795634789,-4.94257850649014,-6.025133084779429,6.751750658944259e-51,7.967065777554236e-49
NEDD4,5.111477365575279e-53,1.73398592702171,1.92812902813439,1.53984282590902,7.790063319501958e-51,9.270175350207326e-49
PPP1R1B,7.426245376040719e-53,4.278358034094721,4.58767887159333,3.96903719659612,1.1223532178322898e-50,1.3468238613987447e-48
CYSRT1,8.514879497101198e-53,-3.93478493704833,-3.52465521794111,-4.34491465615555,1.27624673189609e-50,1.5442585455942732e-48
CKS1B,1.1555951276995798e-52,2.4340590129977597,2.7047816605327304,2.16333636546279,1.7178584619638897e-50,2.095787323595958e-48
RAB34,1.3156697587714697e-52,2.02101540920103,2.2496767440734398,1.79235407432863,1.9399176215511598e-50,2.3860986745079374e-48
SPRR3,2.9366584261921597e-52,-2.25888752129785,-1.7239485673219999,-2.7938264752736903,4.29509977559848e-50,5.325923721742101e-48
PARP14,3.0422416405850892e-52,2.48315635538854,2.77801301919369,2.18829969158339,4.413927551492099e-50,5.517409439365118e-48
RSAD2,3.3327121567317495e-52,4.312383940419069,4.62850243347883,3.99626544735932,4.796989497975159e-50,6.044206767448701e-48
DDX60,3.542778263784249e-52,3.17962931860306,3.40502313182527,2.9542355053808396,5.059198944251269e-50,6.425182659199114e-48
MAGED1,5.3205037638233085e-52,2.23100025650831,2.4908486255466697,1.9711518874699598,7.538488770367149e-50,9.649265626069952e-48
0610040J01RIK,5.963384614636829e-52,1.9112585263095598,2.1645031856546,1.65801386696452,8.383871579151438e-50,1.0815194337105353e-47
TXNDC17,9.054729535494139e-52,-1.07488687347514,-0.9558473451988531,-1.19392640175142,1.2632044219670897e-49,1.642165748557217e-47
CNFN,1.0684488685106398e-51,-5.23272996506097,-4.618813514008941,-5.846646416113,1.47918997551977e-49,1.9377388679308963e-47
TMEM45B,1.1363977945772697e-51,-3.5612075454297902,-3.2350394005766203,-3.8873756902829504,1.5613416971555598e-49,2.0609710402453363e-47
FUOM,1.2099349080905698e-51,2.14619511570357,2.4364369798326098,1.85595325157453,1.64987815737824e-49,2.1943379493130574e-47
CLIC3,2.0067952174458797e-51,-3.92365052109071,-3.55015929647364,-4.29714174570777,2.6959435602665596e-49,3.639523806359847e-47
G3BP2,1.9958561541655195e-51,1.38697682626127,1.5431749493519598,1.2307787031705701,2.6959435602665596e-49,3.619684721194586e-47
CUEDC2,2.985599321155519e-51,2.01963829198726,2.29009183393124,1.7491847500432802,3.98138450650562e-49,5.414682928847649e-47
PBX1,4.4207953965715096e-51,1.64626710696082,1.8297355405118603,1.46279867340978,5.85222958483364e-49,8.017554531222089e-47
TMED4,4.507733275259e-51,1.46400502703428,1.6318958089808402,1.29611424508772,5.924076136238929e-49,8.175225068009722e-47
GFER,6.517118840278778e-51,1.67384782595032,1.8628965429762598,1.4847991089243702,8.503199085416979e-49,1.1819446728729593e-46
SOX9,6.935945292542328e-51,2.138198250938,2.38683421981656,1.8895622820594298,8.98502170182483e-49,1.2579030382554767e-46
MED28,7.457948486648698e-51,1.03134616229474,1.14680124025032,0.915891084339152,9.592720124387298e-49,1.352573537538608e-46
G3BP1,7.910263380971608e-51,1.16289135530719,1.29309367022956,1.0326890403848101,1.01028546955846e-48,1.4346053667730108e-46
MFGE8,1.3497437095872797e-50,2.78660438196842,3.1082647725413297,2.4649439913955,1.7118148193758598e-48,2.4478951917074904e-46
HMGN1,1.3681856652878297e-50,1.5672831490430803,1.74329580302284,1.3912704950633201,1.72315383511529e-48,2.4813415225660077e-46
MT4,1.4003103027157498e-50,-5.32871263470878,-4.70803799429204,-5.94938727512551,1.7514501827622603e-48,2.539602765005284e-46
PSME2,1.8614159429404797e-50,1.4244450017883101,1.5847015096520098,1.2641884939246102,2.31223558501154e-48,3.375863954116854e-46
BC117090,3.544747179520489e-50,-3.9460854563614203,-3.52079295227779,-4.37137796044505,4.37330169032541e-48,6.428753484778359e-46
TAP2,4.920887194983239e-50,1.96707688287578,2.18843314294307,1.74572062280849,6.0300817681227e-48,8.924521016821602e-46
PSME1,5.878661379459159e-50,1.58181702875453,1.7608960694845501,1.4027379880245199,7.15539615958867e-48,1.0661540277787132e-45
CBX1,6.036073801588429e-50,1.1199518779528201,1.24678280339194,0.993120952513698,7.298015631040519e-48,1.0947023446560775e-45
CALU,7.386676971608019e-50,1.44185274233053,1.6049814614484998,1.27872402321257,8.871839308416098e-48,1.3396477355708303e-45
PHC2,8.399334147290219e-50,1.46964955237692,1.64095292978899,1.2983461749648602,1.0021731848372099e-47,1.523303240952554e-45
DHX58,8.7383440479418e-50,2.61919625212156,2.8614736819217206,2.3769188223214,1.0358078931599501e-47,1.584786076534725e-45
9530068E07RIK,1.6478016006103798e-49,1.15806657496693,1.28994181050646,1.02619133942739,1.9405538849785697e-47,2.9884529828669846e-45
SUMO3,3.81589297956149e-49,1.25954168725891,1.40366810593604,1.11541526858179,4.464840972730779e-47,6.920503507732718e-45
CADPS2,4.2660200731609595e-49,2.75244932059883,2.9127141757760797,2.59218446542158,4.9595217978748205e-47,7.736854004684716e-45
CLDN7,4.69536744470147e-49,1.70090804263411,1.89577008818847,1.50604599707975,5.423897068605471e-47,8.515518397710586e-45
HINT1,4.7809769503672294e-49,0.996374598401282,1.11068513055241,0.882064066250152,5.48783531467469e-47,8.670779797186007e-45
CHP1,4.983347543921021e-49,-1.6920711103509798,-1.4981498295351001,-1.8859923911668501,5.6841503809152e-47,9.037799105655164e-45
NOXO1,8.986570337545589e-49,2.14047384698331,2.42505976964843,1.8558879243181898,1.01862774776079e-46,1.629804396417268e-44
SLC25A4,1.01538664868929e-48,1.780559120156,2.00096602899293,1.5601522113190702,1.14379206587758e-46,1.8415052260628963e-44
NET1,1.04539398861064e-48,1.3943670731860602,1.55484983248056,1.23388431389155,1.17032502329892e-46,1.8959265377442566e-44
CRIP2,2.43176180514768e-48,2.2476253955014505,2.5182288433692204,1.9770219476336799,2.7056706808686098e-46,4.4102432098158325e-44
EMC10,2.58779733130837e-48,1.2982441161389,1.44838492491,1.14810330736781,2.86172514637857e-46,4.69322924006086e-44
H2-Q6,4.36238328324263e-48,2.81101827165035,3.01769805138407,2.60433849191662,4.79492019544777e-46,7.911618322488834e-44
NCCRP1,6.0842664922066e-48,-3.3881767950323396,-2.9552005032754805,-3.8211530867892005,6.647244403774629e-46,1.103442571026589e-43
KHDRBS1,6.586603141416999e-48,1.07379945836106,1.20594606678218,0.941652849939935,7.15297213010411e-46,1.194546345727387e-43
RBPMS,7.225025658886841e-48,2.90529303424353,3.1258205229446103,2.68476554554246,7.799587223188799e-46,1.3103306534957174e-43
FAM25C,1.0909921531142599e-47,-5.15121313248975,-4.62250398780541,-5.67992227717409,1.17078305851362e-45,1.978623368888022e-43
TAGLN2,1.15702302811987e-47,1.4406319793103604,1.60880802766904,1.2724559309516899,1.2343393904695198e-45,2.0983769637981963e-43
CHIT1,1.1968047479841197e-47,-3.59677065404944,-3.1990811605541496,-3.99446014754473,1.2693129186807099e-45,2.1705250909439995e-43
THBS1,2.5278666005592693e-47,4.49006640474542,4.84538726967021,4.13474553982063,2.6654295737059802e-45,4.584538866774291e-43
HSPA4L,2.6810185037805995e-47,1.6034311686432499,1.7909150581069198,1.41594727917957,2.8105752361020195e-45,4.862295158456496e-43
MARCKSL1,3.6467626258833204e-47,1.4817416538638202,1.65673705370175,1.3067462540258798,3.801016493277e-45,6.61376869830199e-43
GSTO1,3.7203141463072797e-47,-3.6310508131889905,-3.20431697165782,-4.057784654720161,3.8555209918530795e-45,6.747161735742882e-43
NISCH,6.684230460846199e-47,1.3829251339213797,1.54599800960814,1.2198522582346298,6.8877956612447e-45,1.2122520363790667e-42
CAR8,7.76059270864575e-47,3.4550966077693,3.66764591588563,3.24254729965296,7.9517575911864e-45,1.4074610936399932e-42
TOR1AIP1,7.971348300219508e-47,1.720172659743,1.92440826007063,1.5159370594153798,8.12181869510006e-45,1.44568372772781e-42
CISD3,8.274190699825789e-47,1.8239735396146002,2.0561983009514697,1.59174877827774,8.38328058838216e-45,1.500607225320405e-42
CCDC34,1.05550964612392e-46,1.87707233719325,2.09900497114356,1.6551397032429498,1.06348460789463e-44,1.9142722942103413e-42
KLK13,1.07522640598779e-46,-1.9937374390748301,-1.5404391533555502,-2.4470357247941203,1.0773649778450099e-44,1.950030609899456e-42
ATPIF1,1.10312887795034e-46,0.77122337846933,0.862663569109432,0.679783187829227,1.09924974343447e-44,2.0006345330507365e-42
TMEM45A,1.7244327679792801e-46,-4.507486513407059,-4.05151187399589,-4.963461152818231,1.70897883497662e-44,3.1274312680072225e-42
C3,1.7447747148534698e-46,3.89906065560112,4.303842570933299,3.49427874026894,1.71974099068384e-44,3.164323422858253e-42
KRT10,1.91205665692832e-46,-4.1394169450214795,-3.64716121680946,-4.6316726732335,1.8744356502730798e-44,3.467705953005201e-42
TMEM173,2.6851223130763097e-46,1.8645225452383198,2.0967740394509,1.6322710510257301,2.6181386166640896e-44,4.869737826995195e-42
HNRNPA3,3.51224312669549e-46,1.0044580719104201,1.12417354906378,0.8847425947570491,3.40631237143045e-44,6.36980413457494e-42
CTBP1,3.69929218331616e-46,1.2397714984716102,1.39228322567619,1.08725977126704,3.5686363317352e-44,6.709036303662188e-42
SLC39A4,4.438896710877829e-46,3.9740916411777403,4.38005431470152,3.56812896765396,4.25946194436404e-44,8.050383074848032e-42
SOX4,5.4618921853406506e-46,2.04636035286762,2.29070593546686,1.8020147702683798,5.213519824912529e-44,9.905687667333804e-42
SYCE2,6.69337309495335e-46,2.74569173818919,2.92635720602195,2.56502627035644,6.355550494768269e-44,1.2139101445007397e-41
SLFN2,1.0640688918817999e-45,2.33957177423949,2.6754355466891,2.00370800178988,1.0051017407900199e-43,1.9297953423168323e-41
ACTN1,1.2497058798561299e-45,1.46372810750767,1.63958834622747,1.28786786878788,1.1743350174648e-43,2.2664665837070772e-41
IFIH1,1.26764301563638e-45,1.94111942374658,2.17565541016702,1.70658343732615,1.1850501923495597e-43,2.2989973731581384e-41
HNRNPA2B1,1.5644977055802802e-45,0.9201037857148109,1.03078451488783,0.80942305654179,1.45506309684123e-43,2.8373730388403964e-41
FAM3C,1.66029174906863e-45,3.0895996705760402,3.37402678106285,2.80517256008923,1.5362781204647298e-43,3.0111051161108674e-41
DDOST,2.0569504783420398e-45,1.2647509728929498,1.41701984812172,1.11248209766417,1.8936474048330603e-43,3.7304853875211233e-41
UBE2L6,2.0984953294963602e-45,2.66002904177005,2.9430243736988198,2.3770337098412795,1.9221369341285898e-43,3.805831129574599e-41
WFDC2,2.29411939263385e-45,2.54222676863929,2.84848730697525,2.23596623030334,2.09076127159836e-43,4.16061493048075e-41
CBX5,3.25890245486611e-45,1.7526752887672299,1.9678547332268899,1.53749584430756,2.955172746072589e-43,5.910345492145177e-41
KLK10,3.7248290006130296e-45,-2.99312547086792,-2.4789258810442405,-3.50732506069159,3.3608705848317398e-43,6.75534987551179e-41
RBBP7,4.9360456710503104e-45,1.16454435569773,1.30661856241409,1.0224701489813601,4.43168932129546e-43,8.952012429016843e-41
ANO1,6.04416411501616e-45,1.82951712754624,2.0609111799681203,1.59812307512436,5.39985026551394e-43,1.0961696038993306e-40
KRT1,1.23113488758757e-44,-4.05745109885809,-3.4945328834829597,-4.62036931423322,1.0891640156725899e-42,2.232786232128817e-40
SIVA1,1.2500955215982698e-44,1.9320978127122,2.1669610854553203,1.69723453996907,1.10056953299545e-42,2.267173237970622e-40
CERS2,1.51880472050606e-44,1.4270497120001102,1.60212686636449,1.25197255763573,1.3306783773477199e-42,2.7545042411097905e-40
NAA20,1.5573629860432898e-44,1.52382528870675,1.7095655252663202,1.3380850521471699,1.35790072667698e-42,2.82443351148811e-40
MYDGF,1.8318611377617997e-44,1.1027756832646,1.2373574317737799,0.968193934755412,1.5895996935142598e-42,3.3222633594448e-40
MGST1,2.07476265654665e-44,2.6974534838926805,3.0602735343663503,2.334633433419,1.79180454948238e-42,3.762789553913004e-40
SLURP1,2.34276508132323e-44,-6.132009827443611,-5.49080332756896,-6.773216327318259,2.01366765473356e-42,4.24883875148781e-40
FKBP2,2.6204120176108497e-44,1.1922544733045501,1.3411328945140402,1.0433760520950601,2.2416883184618097e-42,4.752379235139037e-40
